ms_gush,ms_chelka,ktatrova
6620,18,11
6620,24,11
6620,21,11
6620,20,11
6620,27,11
6620,23,11
6620,40,11
6620,29,11
7222,12,11
7186,16,11
7186,17,11
6798,23,11
6620,17,11
6620,19,11
6620,39,11
6900,15,11
6798,34,11
6896,32,11
7222,52,11
6798,7,11
6634,204,11
6634,202,11
7222,36,11
6635,137,11
6634,203,11
6634,200,11
7222,8,11
6896,45,11
7222,34,11
6634,246,11
6798,8,11
6900,27,11
6634,150,11
6635,139,11
6635,138,11
6634,270,11
7222,6,11
6634,81,11
6634,177,11
6634,180,11
7222,1,11
6634,198,11
6896,31,11
6896,47,11
6634,6,11
6896,34,11
6900,8,11
7222,25,11
7222,2,11
7222,28,11
6900,11,11
7222,26,11
7222,49,11
6634,232,11
7222,47,11
6634,171,11
6634,168,11
6634,146,11
6634,167,11
6634,145,11
6634,166,11
6634,324,11
6634,155,11
6634,312,11
6634,165,11
6634,349,11
6634,331,11
6634,164,11
6634,141,11
6634,210,11
6798,46,11
6798,36,11
6798,37,11
6798,38,11
6798,39,11
6798,40,11
6798,49,11
6798,73,11
6798,30,11
6798,19,11
6798,20,11
7186,12,11
6798,21,11
6798,33,11
6798,11,11
6635,128,11
6634,205,11
7222,37,11
6634,201,11
6635,51,11
6635,143,11
6635,221,11
6635,133,11
6635,273,11
6635,210,11
6635,203,11
6635,281,11
6635,211,11
6634,85,11
6634,83,11
6634,79,11
7222,9,11
6634,176,11
7222,7,11
6634,260,11
7222,38,11
6634,257,11
7222,11,11
7222,32,11
7222,30,11
6634,87,11
7221,25,11
7222,24,11
6896,35,11
7222,17,11
6634,238,11
7222,27,11
6634,242,11
7222,42,11
7222,41,11
7222,51,11
7222,39,11
7222,46,11
6634,149,11
6634,169,11
6634,148,11
6900,26,11
6634,175,11
6634,199,11
6634,253,11
6634,249,11
7222,33,11
7222,23,11
7222,29,11
7222,20,11
7222,19,11
7222,43,11
6634,223,11
6634,314,11
6634,329,11
6634,228,11
6634,143,11
6634,156,11
6634,209,11
6634,336,11
6798,61,11
6798,52,11
6798,24,11
6798,13,11
6798,25,11
6798,47,11
6798,26,11
6798,16,11
6798,28,11
6798,41,11
6798,50,11
6634,147,11
6634,173,11
6798,42,11
7186,13,11
6798,44,11
6798,45,11
6634,208,11
6634,157,11
7186,1,11
6634,323,11
7186,42,11
