OBJECTID,ms_gush,k_status_hesder,ms_chelka,ms_shetach_rashum,ms_shetach,tr_idkun_acharon,k_input_source,tr_chelka,heara,sw_baalut,ms_gush_vechelka,date_import,Shape_Length,Shape_Area,oidtatrova,ktatrova,krova,dateimport,ShapeArea
2225,6902,0,241,274,272.61,,0,1991-01-03T00:00:00.000,,-1,6902241,06/09/2015 1:33,73.69295519,272.606915,12,32,3,12/20/2012 1:39,658185
2226,6214,0,345,535,540.17,,1,1991-01-03T00:00:00.000,,-1,6214345,06/09/2015 1:33,95.37331182,540.16515,12,32,3,12/20/2012 1:39,658185
2227,6902,0,116,284,267.33,,1,1991-01-03T00:00:00.000,,-1,6902116,06/09/2015 1:33,66.90843309,267.332145,12,32,3,12/20/2012 1:39,658185
2473,6902,0,182,8,8.43,,0,1991-01-03T00:00:00.000,,-1,6902182,06/09/2015 1:33,13.26844974,8.4304,12,32,3,12/20/2012 1:39,658185
2474,6902,0,185,12,13.73,,0,1991-01-03T00:00:00.000,,-1,6902185,06/09/2015 1:33,15.61342197,13.732,12,32,3,12/20/2012 1:39,658185
3413,6214,0,203,464,468.1,,1,1991-01-03T00:00:00.000,,-1,6214203,06/09/2015 1:33,88.53575878,468.1041935,12,32,3,12/20/2012 1:39,658185
3414,6955,0,126,14,15.53,,2,1991-01-03T00:00:00.000,,-1,6955126,06/09/2015 1:33,30.28346379,15.5286485,12,32,3,12/20/2012 1:39,658185
3415,6955,0,125,428,424.99,,1,1991-01-03T00:00:00.000,,-1,6955125,06/09/2015 1:33,88.82636272,424.9862695,12,32,3,12/20/2012 1:39,658185
3434,6214,0,209,543,536.94,,1,1991-01-03T00:00:00.000,,-1,6214209,06/09/2015 1:33,99.52234792,536.939827,12,32,3,12/20/2012 1:39,658185
3435,6214,0,424,140,133.97,,0,1991-01-03T00:00:00.000,,-1,6214424,06/09/2015 1:33,49.72596017,133.9702695,12,32,3,12/20/2012 1:39,658185
3490,6902,0,59,281,281.11,,1,1991-01-03T00:00:00.000,,-1,690259,06/09/2015 1:33,74.96778825,281.1103485,12,32,3,12/20/2012 1:39,658185
3491,6966,0,20,518,514.14,,1,1991-01-03T00:00:00.000,,-1,696620,06/09/2015 1:33,92.34378275,514.1353895,12,32,3,12/20/2012 1:39,658185
3492,6214,0,270,506,505.31,,1,1991-01-03T00:00:00.000,,-1,6214270,06/09/2015 1:33,93.01430951,505.3107285,12,32,3,12/20/2012 1:39,658185
3493,6214,0,292,51,59.51,,1,1991-01-03T00:00:00.000,,-1,6214292,06/09/2015 1:33,144.7061993,59.5095795,12,32,3,12/20/2012 1:39,658185
3494,6214,0,166,492,488.35,,1,1991-01-03T00:00:00.000,,-1,6214166,06/09/2015 1:33,91.38736951,488.3460835,12,32,3,12/20/2012 1:39,658185
3495,6902,0,15,25,26.16,,0,1991-01-03T00:00:00.000,,-1,690215,06/09/2015 1:33,20.75571344,26.1608,12,32,3,12/20/2012 1:39,658185
3496,6214,0,162,489,487.19,,1,1991-01-03T00:00:00.000,,-1,6214162,06/09/2015 1:33,89.32780206,487.187236,12,32,3,12/20/2012 1:39,658185
